Division	Region	Brand	WrittenDate	UnitsSold
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/31/2014	78
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/1/2014	119
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/2/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/3/2014	27
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/4/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/5/2014	23
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/6/2014	32
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/7/2014	27
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/8/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/9/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/10/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/11/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/12/2014	31
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/13/2014	49
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/14/2014	33
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/15/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/16/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/17/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/18/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/19/2014	23
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/20/2014	50
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/21/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/22/2014	23
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/23/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/24/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/25/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/26/2014	33
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/27/2014	46
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/28/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/29/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	9/30/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/1/2014	27
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/2/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/3/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/4/2014	32
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/5/2014	31
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/6/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/7/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/8/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/9/2014	31
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/10/2014	34
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/11/2014	76
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/12/2014	49
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/13/2014	51
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/14/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/15/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/16/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/17/2014	31
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/18/2014	42
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/19/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/20/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/21/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/22/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/23/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/24/2014	26
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/25/2014	33
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/26/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/27/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/28/2014	12
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/29/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/30/2014	27
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	10/31/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/1/2014	40
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/2/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/3/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/4/2014	26
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/5/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/6/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/7/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/8/2014	53
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/9/2014	33
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/10/2014	36
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/11/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/12/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/13/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/14/2014	44
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/15/2014	41
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/16/2014	32
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/17/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/18/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/19/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/20/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/21/2014	36
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/22/2014	45
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/23/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/24/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/25/2014	30
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/26/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/28/2014	199
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/29/2014	81
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	11/30/2014	36
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/1/2014	41
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/2/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/3/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/4/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/5/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/6/2014	27
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/7/2014	36
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/8/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/9/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/10/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/11/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/12/2014	40
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/13/2014	47
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/14/2014	40
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	12/15/2014	23
